Usuario,Periodo,Comentario,ODSEW-ShBeI-QClCJf-QYOpke-title,ODSEW-ShBeI-QClCJf-QYOpke-VdSJob,ODSEW-ShBeI-text 2
Cata Marchant,7 months ago,,Response from the owner,7 months ago,"Cata, nos gustaria haber tenido mas informacion en relacion a tu valoracion.

(Translated by Google)
Cata, we would like to have had more information in relation to your assessment."
rony muñoz,7 months ago,,Response from the owner,7 months ago,"Gracias Rony por tu valoracion.

(Translated by Google)
Thanks Rony for your assessment."
Yerka Pizarro,7 months ago,"Una muy buena ubicación, espacio, ambiente, atención y comida. Las pizzas son deliciosas, el postre increíble y la cerveza una de las mejores que he tomado. Cuenta con pizzas vegetarianas. …",Response from the owner,7 months ago,"Gracias marcela por tus comentarios y valoracion, te esperamos nuevamente.

(Translated by Google)
Thank you Marcela for your comments and evaluation, we are waiting for you again."
José Pedro Pinedo Ried,7 months ago,,Response from the owner,7 months ago,"Gracias, Jose por tu valoración y comentarios, te esperamos prontamente.

(Translated by Google)
Thank you Jose for your assessment and comments, we look forward to seeing you."
Gustavo Maluenda Molina,7 months ago,,Response from the owner,7 months ago,"Gracias Gustavo por tu valoración.

(Translated by Google)
Thank you Gustavo for your assessment."
Violeta Olivera,7 months ago,"Ricas pizzas, buen ambiente y excelente atención 👍

(Translated by Google) …",Response from the owner,7 months ago,"Gracias Violeta por tu calificación.

(Translated by Google)
Thanks Violeta for your rating."
Argenis Villasmil,7 months ago,,Response from the owner,7 months ago,"Gracias Argenis por valoracion.

(Translated by Google)
Thank you Argenis for evaluation."
Alvaro Soto,7 months ago,,Response from the owner,7 months ago,"Gracias Alvaro.

(Translated by Google)
Thanks Alvaro."
Benjamin Pablo Muñoz Serrano,7 months ago,"Muy bueno

(Translated by Google)
Very good",Response from the owner,7 months ago,"Gracias Benjamin, te esperamos prontamente.

(Translated by Google)
Thanks Benjamin, we wait for you soon."
christian marcelo,7 months ago,"Excelente.como siempre.

(Translated by Google)
Excelent as always.",Response from the owner,7 months ago,"Gracias Christian, te esperamos nuevamente.

(Translated by Google)
Thanks Christian, we are waiting for you again."
Carlos Santos,7 months ago,Excelentes pizzas y tragos. Tienen incluso una pizza con denominación de origen. …,Response from the owner,7 months ago,"Gracias Carlos, te esperamos nuevamente.

(Translated by Google)
Thanks Carlos, I hope again."
Alejandra LLANOS VEGA,7 months ago,,Response from the owner,7 months ago,"Gracias Alejandra.

(Translated by Google)
Thanks Alejandra."
Roberto Meyer Nussee,7 months ago,"Mb pizzas

(Translated by Google)
Mb pizzas",Response from the owner,7 months ago,"Gracias Roberto.

(Translated by Google)
Thanks Roberto."
Roselin Ramirez,7 months ago,,Response from the owner,7 months ago,"Gracias Roselin.

(Translated by Google)
Thanks Roselin."
Yuri Aghemio,7 months ago,"Mala atención, lentos, poca variedad de productos. Lamentable, el local está bien decorado. Es lo único rescatable. …",Response from the owner,7 months ago,"Yuri lamentamos tus comentarios, haremos llegar tus comentarios.

(Translated by Google)
Yuri we are sorry for your comments, we will send your comments."
Yoel Huerta,7 months ago,"Rápido, buenas atención

(Translated by Google)
Quick, good attention",Response from the owner,7 months ago,"Gracias Yoel,  te esperamos nuevamente.

(Translated by Google)
Thanks Yoel, we wait for you again."
Josue Linares,7 months ago,,Response from the owner,7 months ago,"Gracias Josue por tu valoración.

(Translated by Google)
Thank you Josue for your assessment."
Juan Stockl,7 months ago,,Response from the owner,7 months ago,"Gracias Juan.

(Translated by Google)
Thanks Juan."
erna magaly olivera allendes,7 months ago,,Response from the owner,7 months ago,"Gracias Erna, te esperamos nuevamente.

(Translated by Google)
Thanks Erna, we wait for you again."
Felipe Muñoz,7 months ago,,Response from the owner,7 months ago,"Gracias Felipe por tu valoración.

(Translated by Google)
Thank you Felipe for your assessment."
Javier Eduardo González Capot,7 months ago,,Response from the owner,7 months ago,"Gracias Javier.

(Translated by Google)
Thanks Javier."
Arturo Vasquez,8 months ago,"Buenisimo

(Translated by Google)
Very good",Response from the owner,7 months ago,"Gracias Arturo por tu valoración.

(Translated by Google)
Thanks Arturo for your rating."
Marisa Canepa,8 months ago,,Response from the owner,7 months ago,"Gracias Marisa por tu valoración.

(Translated by Google)
Thank you Marisa for your assessment."
Cristina Gamboa,8 months ago,pizzas muy ricas. atencion muy buena. lo q me servi para tomar bien rico. aunque senti que la carta de cokcteles era un poco acotada.  pero en general ambiente grato y la atencion muy bien y tiempos de espera desde q pides y llega es una …,Response from the owner,7 months ago,"Gracias Cristina, te esperamos nuevamente.

(Translated by Google)
Thanks Cristina, we wait for you again."
Erika Szocs,8 months ago,"Muy ricas ensaladas. Muy buena atención.

(Translated by Google) …",Response from the owner,7 months ago,"Gracias Erika, te esperamos nuevamente.

(Translated by Google)
Thank you Erika, we wait for you again."
Mario Rico,8 months ago,,Response from the owner,7 months ago,"Gracias Mario, te esperamos Prontamente.

(Translated by Google)
Thanks Mario, we wait for you soon."
MITSY MORALES,8 months ago,,Response from the owner,7 months ago,"Gracias Mitsy.

(Translated by Google)
Thanks Mitsy."
Julio yanque contreras,8 months ago,"La mejor pizza de Manuel Montt 8000 mil pesos la pizza promedio
Recomendado …",Response from the owner,7 months ago,"Gracias Julio, te esperamos nuevamente.

(Translated by Google)
Thanks Julio, we are waiting for you again."
Ricardo A. Rey,8 months ago,,Response from the owner,7 months ago,"Gracias Ricardo por tu valoración.

(Translated by Google)
Thanks Ricardo for your feedback."
Cecilia Figueroa,8 months ago,"Ricas pizzas, buena atención. Muy agradable.

(Translated by Google) …",Response from the owner,7 months ago,"Gracias Cecilia, te esperamos nuevamente.

(Translated by Google)
Thanks Cecilia, we are waiting for you again."
Soraya palacios,8 months ago,"Pizzas muy ricas y variedad de tragos

(Translated by Google)
Very rich pizzas and a variety of drinks",Response from the owner,7 months ago,"Gracias Salomé por tus comentarios y valoración.

(Translated by Google)
Thank you Salomé for your comments and assessment."
Mitchele Vidal,8 months ago,"¡Las pizzas son excelentes! Hay que ir con tiempo y paciencia, eso sí.

(Translated by Google) …",Response from the owner,8 months ago,"Gracias Mitchele por tus comentarios y valoración.

(Translated by Google)
Thank you Mitchele for your comments and assessment."
Solange Ampuero,8 months ago,,Response from the owner,8 months ago,"Solonge, nos hubiese gustado tener mas información en relación a tu  valoración.

(Translated by Google)
Solonge, we would have liked to have more information regarding your assessment."
Jeanitza Valera,8 months ago,,Response from the owner,8 months ago,"Gracias por tu valoración Jeanitza.

(Translated by Google)
Thank you for your assessment Jeanitza."
MARIA CRISTINA GOMEZ MONTILLA,8 months ago,,Response from the owner,8 months ago,"Gracias Maria Cristina por tu valoración.

(Translated by Google)
Thank you Maria Cristina for your assessment."
Mariale Villalobos,8 months ago,,Response from the owner,8 months ago,"Gracias Maria Alejandra por tu valoración, te esperamos nuevamente en Domani.

(Translated by Google)
Thank you Maria Alejandra for your assessment, we are waiting for you again at Domani."
Tomás Alvarez,8 months ago,"Es un sitio agradable decente pintoresca

(Translated by Google)
It's a quaint decent decent place",Response from the owner,8 months ago,"Gracias Tomas, nos hubiese gustado mas información en relación a tu valoración.

(Translated by Google)
Thanks Tomas, we would have liked more information regarding your assessment."
Roberto Quiles,8 months ago,"Buen servicio. Pizzas tamaño normal. Precio asequible

(Translated by Google) …",Response from the owner,8 months ago,"Gracias Roberto por tu valoración, te esperamos nuevamente.

(Translated by Google)
Thanks Roberto for your assessment, we are waiting for you again."
Ed0,8 months ago,"Excelente pizza novillada,estirada  y horneada como se come en Nápoles

(Translated by Google) …",Response from the owner,8 months ago,"Gracias Ed0 por tu valoración.

(Translated by Google)
Thanks Ed0 for your assessment."
Nathalia Arismendi,8 months ago,Pizzas ricas y atención rápida cuentan con dos terrazas una en la calle y otra en el segundo piso. Cumple con todas las medidas de seguridad por covid y la carta es por código QR. …,Response from the owner,8 months ago,"Gracias Nathalia por tus comentarios y valoración, te esperamos nuevamente en Domani.

(Translated by Google)
Thank you Nathalia for your comments and assessment, we are waiting for you again at Domani."
Arianna Silva,8 months ago,,Response from the owner,8 months ago,"Gracias Arianna por tu valoración.

(Translated by Google)
Thank you Arianna for your assessment."
Pedro Antonio Rivero,8 months ago,,Response from the owner,8 months ago,"Gracias Pedro por tu valoración, te esperamos nuevamente en Domani.

(Translated by Google)
Thanks Pedro for your assessment, we are waiting for you again at Domani."
Ramsses Inojosa,8 months ago,,,,
Inclusive Green,8 months ago,"Exquisitas pizzas y lo mejor la atención.
Amanda gracias por tu carisma el día de hoy, asi fidelizan a sus clientes. …",,,
Cesar Antonio Fernandez Espoz,8 months ago,,Response from the owner,8 months ago,"Cesar, nos hubriese gustado mas información en relación a tu valoración.

(Translated by Google)
Cesar, we would have liked more information regarding your assessment."
Carlos Jose Matta,8 months ago,"Excelente servicio y la atención extraordinaria

(Translated by Google) …",Response from the owner,8 months ago,"Gracias Carlos, les haremos llegar tus comentarios a nuestro staff.

(Translated by Google)
Thanks Carlos, we will send your comments to our staff."
Catalina Sofía Acevedo Elissetche,8 months ago,"Exquisito

(Translated by Google)
Exquisite",Response from the owner,8 months ago,"Gracias Catalina por tu valoración y comentarios, te esperamos prontamente.

(Translated by Google)
Thank you Catalina for your assessment and comments, we are waiting for you soon."
Federico Walker,8 months ago,,Response from the owner,8 months ago,"Gracias por tu valoración, Federico.

(Translated by Google)
Thank you for your feedback, Federico."
Oscar Eduardo Tagliaferro,8 months ago,"La mejor pizza de Santiago. Mi esposa y yo somos fanáticos y ""embajadores"" (de cariño) de Domani 🎩👒 recomendado hasta el fin del mundo …",Response from the owner,8 months ago,"Gracias Oscar por tus comentarios y valoración, y gracias por tu recomendación.

(Translated by Google)
Thank you Oscar for your comments and assessment, and thank you for your recommendation."
Alfonso Millán,8 months ago,"Ceviche correcto, tragos normales, pero para conocer un lugar nuevo esta bien

(Translated by Google) …",Response from the owner,8 months ago,"Gracias Alfonso, te esperamos nuevamente.

(Translated by Google)
Thanks Alfonso, we wait for you again."
Gustavo Esquivel Espinoza,8 months ago,"Ecxelentes pizzas

(Translated by Google)
Ecxelente pizzas",Response from the owner,8 months ago,"Muchas gracias Gustavo por tu valoración y comentario.

(Translated by Google)
Thank you very much Gustavo for your evaluation and comment."
Miguel Medrano Barroeta,8 months ago,"Pizzería que hay que conocer y que seguramente vas a querer volver a repetir. Sus pizzas, ensaladas y en general toda la carta es muy buena. Particularmente la pizza con jamón crudo y rúcula es la estrella, para mi gusto, de la carta. …",Response from the owner,8 months ago,"Gracias Miguel por tus comentarios y valoración, te esperamos prontamente.

(Translated by Google)
Thank you Miguel for your comments and assessment, we are waiting for you soon."
Eliangela Volpicelli,8 months ago,Auténticas pizzas napolitanas realmente deliciosas. 👏 La limonada con jengibre y menta es ideal para refrescarse. …,Response from the owner,8 months ago,"Gracias Eliangela por tus comentarios y valoración, somos la primera pizza Napoletana en Chile.

(Translated by Google)
Thank you Eliangela for your comments and assessment, we are the first Napoletana pizza in Chile."
María Soledad Ortega MIranda,8 months ago,,Response from the owner,8 months ago,"Gracias por tu valoración Maria Soledad.

(Translated by Google)
Thank you for your assessment Maria Soledad."
Maria Eugenia Maldonado,8 months ago,,Response from the owner,8 months ago,"Gracias por tu valoración

(Translated by Google)
Thank you for your feedback."
david granadillo,8 months ago,,Response from the owner,8 months ago,"Gracias por tu valoración David, esperamos que vuelvas pronto.

(Translated by Google)
Thanks for your assessment David, we hope you come back soon."
Victor Benavides,8 months ago,"excelente lugar

(Translated by Google)
Excellent place",Response from the owner,8 months ago,"Gracias Víctor por tus comentarios y valoración

(Translated by Google)
Thank you Victor for your comments and assessment"
Fredwin Lucas,8 months ago,"Excelentes pizzas

(Translated by Google)
Excellent pizzas",Response from the owner,8 months ago,"Gracias Fredwin por tu valoración, esperamos que vuelvas pronto.

(Translated by Google)
Thanks Fredwin for your evaluation, we hope you come back soon."
sebastian caceres,8 months ago,"Linda experiencia

(Translated by Google)
Nice experience",Response from the owner,8 months ago,"Gracias Sebastián, estamos felices que hayas tenido una buena experiencia con nosotros.

(Translated by Google)
Thanks Sebastian, we are happy that you had a good experience with us."
PedroVicente Navarro Díaz,8 months ago,Las mejores pizzas de Providencia Manuel Montt. Excelente relación precio-calidad. …,Response from the owner,8 months ago,"Gracias Pedro por tus comentarios y valoración.

(Translated by Google)
Thanks Pedro for your comments and assessment."
Javier Andonie,8 months ago,,Response from the owner,8 months ago,"Gracias Javier por valoración, te esperamos nuevamente.

(Translated by Google)
Thanks Javier for your evaluation, we wait for you again."
Alejandra Iturriza,8 months ago,"Muy ricas las pizzas! Rápida preparación.

(Translated by Google)
Very tasty pizzas! Quick preparation.",Response from the owner,8 months ago,"Gracias Alejandra por tu comentario

(Translated by Google)
Thank you Alejandra for your comment."
Pamela Gallardo,8 months ago,,Response from the owner,8 months ago,"Gracias Pamela por tu valoración. Te esperamos nuevamente.

(Translated by Google)
Thank you Pamela for your assessment. We wait for you again."
Fabian Matos,8 months ago,,Response from the owner,8 months ago,"Gracias Fabián por tu valoración.

(Translated by Google)
Thank you Fabian for your assessment."
gregoria soto,8 months ago,"Exelente servicio!

(Translated by Google)
Excelent service!",Response from the owner,8 months ago,"Gracias Gregoria por tu valoración y comentarios.

(Translated by Google)
Thank you Gregoria for your assessment and comments."
Sanddy,8 months ago,,Response from the owner,8 months ago,"Gracias por tu valoración Sanddy.

(Translated by Google)
Thank you for your review Sanddy."
JUAN RIVERO,8 months ago,,Response from the owner,8 months ago,"Gracias Juan por tu valoración, te esperamos Prontamente.

(Translated by Google)
Thank you Juan for your assessment, we hope to see you soon."
roger escobar,8 months ago,,Response from the owner,8 months ago,"Gracias Roger por tu valoración

(Translated by Google)
Thank you Roger for your assessment."
Carlos L Torres,8 months ago,"Pizzas y cócteles excelentes.

(Translated by Google)
Excellent pizzas and cocktails.",Response from the owner,8 months ago,"Gracias Carlos por tus comentarios y valoración, te esperamos nuevamente.

(Translated by Google)
Thank you Carlos for your comments and assessment, we are waiting for you again."
JESUS ASTOR,8 months ago,"excelentes pizzas

(Translated by Google)
excellent pizzas",Response from the owner,8 months ago,"Gracias Jesús.

(Translated by Google)
Thank you Jesus."
Maxwell Pinto,8 months ago,,Response from the owner,8 months ago,"Gracias Maxwell

(Translated by Google)
Thanks Maxwell"
cristian ahumada,8 months ago,"Muy bueno !!!

(Translated by Google)
Very good !!!",Response from the owner,8 months ago,"Gracias Cristian, que bueno que te gustó.

(Translated by Google)
Thanks Cristian, it's good that you liked it."
Mario Fernando Perez Torres,8 months ago,"Buen lugar

(Translated by Google)
Good place",Response from the owner,8 months ago,"Gracias por tus comentarios.

(Translated by Google)
Thank you for your comments."
cristian pincheira,9 months ago,"Muy bueno

(Translated by Google)
Very good",Response from the owner,8 months ago,"Gracias por tus comentarios, Cristian

(Translated by Google)
Thanks for your comments, Cristian"
Catalina Sánchez,9 months ago,,Response from the owner,8 months ago,"Gracias Catalina por tu valoración.

(Translated by Google)
Thank you Catalina for your assessment."
diego esparza,9 months ago,,Response from the owner,8 months ago,"Gracias Diego.

(Translated by Google)
Thanks Diego."
Manuel Ortuño,9 months ago,"Lugar agradable, tranquilo por estar en una calle sin salida, pero la salsa de la pizza me pareció muy simple para el precio. …",Response from the owner,8 months ago,"Gracias por tus comentarios Manuel, nos sirve para mejorar.

(Translated by Google)
Thanks for your comments Manuel, it helps us to improve."
Fiorella,9 months ago,,Response from the owner,8 months ago,"Gracias por tu valoración Fiorella.

(Translated by Google)
Thank you for your evaluation Fiorella."
jesus carrero,9 months ago,,Response from the owner,8 months ago,"Gracis por tu valoración Jesus.

(Translated by Google)
Thank you for your evaluation Jesus."
Mardem Cecim,9 months ago,"Pizza de muy buena calidad y una Sangría de Maracuya espetacular

(Translated by Google) …",Response from the owner,8 months ago,"Muchas gracias por tus comentarios y valoración Mardem.

(Translated by Google)
Thank you very much for your comments and evaluation Mardem."
Katherine Cartes,9 months ago,,Response from the owner,8 months ago,"Gracias Katherine por tu valoración.

(Translated by Google)
Thanks Katherine for your rating."
Cristobal Reyes Bade,9 months ago,"(Translated by Google) Ricooooo todoooooooooooooooooooooooooooooooooooooooooo, ricooooo ... …",Response from the owner,8 months ago,"Excelente Cristóbal.

(Translated by Google)
Excellent Cristóbal."
Eli Camprubi,9 months ago,"Recomendado al 100%

(Translated by Google)
100% recommended",Response from the owner,8 months ago,"Gracias por tu recomendación y valoración Eli.

(Translated by Google)
Thank you for your recommendation and assessment Eli."
Ray Zambrano,9 months ago,,Response from the owner,8 months ago,"Gracias Ray.

(Translated by Google)
Thanks Ray."
José Tadeo Velásquez,9 months ago,"Exquisito

(Translated by Google)
Exquisite",Response from the owner,9 months ago,"Gracias por tu comentario.

(Translated by Google)
Thanks for your comment."
Claudio Torrejón,9 months ago,"Un poco caro, buenos productos y atención.

(Translated by Google) …",Response from the owner,8 months ago,"Gracias Claudio por tu valoración, tendremos en cuenta tu comentario.

(Translated by Google)
Thank you Claudio for your assessment, we will take your comment into account."
jhon caballero (FriTo),9 months ago,"Buena  atencion  y buena comida y tragos

(Translated by Google)
Good attention and good food and drinks",Response from the owner,8 months ago,"Excelente Jhon, gracias.

(Translated by Google)
Excellent Jhon, thank you."
ALFREDO CRUZ,9 months ago,"Gran horno, tremendas pizzas

(Translated by Google)
Great oven, tremendous pizzas",Response from the owner,8 months ago,"Gracias Alfredo.

(Translated by Google)
Thanks Alfredo."
Antonio Rivero,9 months ago,"Buenas pizzas y buen ambiente, schopps helados y bien sacados (raridad en Chile), stella y goose ipa. …",Response from the owner,8 months ago,"Gracias Antonio por tu valoración y comentarios.

(Translated by Google)
Thank you Antonio for your assessment and comments."
ORLANDO CARVALLO,9 months ago,"Exquisitas las pizzas!!

(Translated by Google)
Exquisite pizzas !!",Response from the owner,8 months ago,"Gracias Orlando.

(Translated by Google)
Thanks Orlando."
Carlos Fontecilla,9 months ago,,Response from the owner,8 months ago,"Gracias Carlos, nos gustaría haber tenido más información en relación a la valoración otorgada.

(Translated by Google)
Thanks Carlos, we would like to have had more information in relation to the assessment given."
Alberto Infante,9 months ago,"Muy buenas las pizzas

(Translated by Google)
Very good pizzas",Response from the owner,8 months ago,"Gracias Alberto por tu valoración y comentarios.

(Translated by Google)
Thanks Alberto for your feedback and comments."
Gustavo Adolfo Gaete Arismendi,9 months ago,"Buena atención de los camareros y buenas pizzas...

(Translated by Google) …",Response from the owner,8 months ago,"Gracias Gustavo.

(Translated by Google)
Thanks Gustavo."
Hildemar Perez,9 months ago,,Response from the owner,8 months ago,"Gracias HIldemar por tu valoración.

(Translated by Google)
Thank you HIldemar for your assessment."
Christian Reinoso,9 months ago,"Buena carita pero buena 4 quesos un manjar

(Translated by Google) …",Response from the owner,8 months ago,"Gracias Christian por tu valoración.

(Translated by Google)
Thank you Christian for your assessment."
Alejandro Aristegui,9 months ago,"Excelentes pizzas, buena atención y buenas cervezas

(Translated by Google) …",Response from the owner,8 months ago,"Gracias Alejandro por tu valoración y comentarios.

(Translated by Google)
Thanks Alejandro for your assessment and comments."
Juan Francisco Rippes Paris (juanfra),9 months ago,,Response from the owner,8 months ago,"Gracias Juan.

(Translated by Google)
Thanks Juan."
Bruna Nascimento,10 months ago,"Mejor pizza de Santiago! Masa delgada y relleno exquisito

(Translated by Google) …",Response from the owner,8 months ago,"Gracias Bruna.

(Translated by Google)
Thanks Bruna."
Larissa Martínez,10 months ago,,Response from the owner,8 months ago,"Gracias por tu valoración Larissa.

(Translated by Google)
Thank you for your review Larissa."
Milo D,10 months ago,,Response from the owner,8 months ago,"Milo, nos gustaría haber recibido más información en relación a tu valoración.

(Translated by Google)
Milo, we would like to have received more information regarding your assessment."
Jorge Callejas (Psicólogo),10 months ago,"Un Poco Cari para lo que realmnete es, pero aun y todo estuvo rico y excelente atención …",Response from the owner,8 months ago,"Gracias Jorge, tendremos en cuenta tu comentario.

(Translated by Google)
Thank you Jorge, we will consider your comment."
Sebastián Romero,10 months ago,,Response from the owner,8 months ago,"Gracias Sebastián.

(Translated by Google)
Thanks Sebastian."
fabiola Santos,10 months ago,"excelente sabor y calidad , todo bien preparado y fresco, mucha variedad en pizzas .ademas de buenos `precios. …",Response from the owner,8 months ago,"Gracias Fabiola.

(Translated by Google)
Thanks Fabiola."
Ignacio Silva C.,10 months ago,"Sólo iba pasando por ahí.

(Translated by Google)
I was just passing by.",Response from the owner,8 months ago,"Gracias Ignacio, te esperamos nuevamente.

(Translated by Google)
Thanks Ignacio, we wait for you again."
sebaztian blvck,11 months ago,"(Translated by Google) you eat well

(Original)
si mangia bene",,,
Consuelo Toro,11 months ago,"Domani sigue atendiendo para llevar,  las mejores pizzas!

(Translated by Google) …",,,
Mariangel pilar iturbe barraza,11 months ago,La pizza Margherita verace realmente un manjar de los dioses! Hay que recordar si que venga partida es mejor. Ha salvado nuestras idas a stgo en esta pandemia :) …,,,
Junior Nieves,11 months ago,"Excelente

(Translated by Google)
Excellent",,,
Elias Unocc Rosales,11 months ago,,,,
maykol reyes,a year ago,,,,
Richard RIOS SALAZAR,a year ago,"Tardan en hacer la entrega del pedido

(Translated by Google)
They take to deliver the order",,,
H Asusasum,a year ago,,,,
Richard yanderson escalante garcia,a year ago,"Lo recomiendo

(Translated by Google)
I recommend it",,,
Nicolas Valenzuela,a year ago,,,,
jorge Arellano,a year ago,,,,
nome ramos,a year ago,,,,
Stéphane Auguin,a year ago,"La mejor pizza que he comido en santiago, me recuerda a las italianas de verdad. Lo único malo es que cierran el domingo, mi día de pizza. …",,,
Giohan Rodriguez,a year ago,,,,
jennifer jaramillo miranda,a year ago,"Exquisitas pizzas y tragos ... buena atención

(Translated by Google) …",,,
Vicente Manns,a year ago,,,,
Fermin Barrios R,a year ago,,,,
Ana Concha Oyarce,a year ago,,,,
Yosjaidys Camarillo,a year ago,"Las mejores pizza

(Translated by Google)
The best pizza",,,
Y SH,a year ago,"Tremendas pizzas! Equilibradas tanto en queso como ingredientes y una masa brutal. Se recomienda Ventura, Pepperoni y Torino. Para hidratarse me inclino por uno de sus bondadosos schop (Kross 5 o Goose ipa) o el tinto de verano el cuál …",,,
LORENA ESPINOZA,a year ago,,,,
